year,month,day,hour,minute,second,latitude,longitude,depth,mi,mb,ms,mw,intensity
1993,4,9,11,35,35.6,14.95,120.25,14,,,5.3,,INTENSITY V - CLARK OLONGAPO SAN ANTONIO ZAMBALES MANILA; INTENSITY IV - QC; INTENSITY III - TAGAYTAY
1993,9,6,13,9,56.5,13.73,120.53,120,,,5.3,,
1993,10,30,8,30,33.3,15.44,121.73,8,,,5.1,,MANILA RF4; QUEZON CITY RF3; PALAYAN CITY RF3; CLARK RF3; GUINAYANGAN RF2; BAGUIO RF 1
1993,12,12,5,15,22.3,13.73,123.02,8,,,5.3,,GUINAYANGAN QUEZON RF3; LIGNON HILL RF2; QUZON CITY RF2
1994,2,20,21,48,14.7,13.73,120.75,185,,,5.2,,
1994,4,27,14,11,46.6,13.13,119.35,48,,,5.7,,
1994,11,14,19,15,27.8,13.5,121.09,7,,6.1,7.1,,INTENSITY VIII - BACO ORIENTAL MINDORO; INTENSITY VII - VERDE ISLAND; INTENSITY III - GUINAYANGAN LUCBAN QUEZON BATANGAS TAGAYTAY MANILA; INTENSITY II - MASBATE LEGASPI
1994,11,15,0,35,55.5,13.7,120.92,70,,,6,,
1994,11,15,3,29,16.5,13.41,120.63,33,,,5.3,,
1994,11,15,6,25,11.2,13.17,121.19,34,,,5.1,,
1994,11,24,10,38,40.9,12.57,121.02,9,,,5.2,,
1996,2,18,9,57,16.4,14.13,120.5,260,,,5,,PTO GALERA RF2; TAGAYTAY RF2; MANILA MAKATI RF1
1996,5,2,6,30,23.1,16.24,120.33,3,,,5.5,,DAGUPAN RF5; BAGUIO RF4; ANGELES CITY RF4; MANILA RF3
1996,7,20,9,14,5.4,13.85,120.34,82,,,5.3,,BALAYAN BATANGAS RF5; SUBIC TAGAYTAY; TALISAY BATANGAS RF4 MARIVELES PTOGALERA MANILA; PULILAN BULACAN RF3; QUEZON CITY RF2 CLARK RF2; LUCBAN RF2; GUINAYANAGN RF1
1996,7,30,17,31,30.7,14.7,119.5,7,,,5.8,,OLONGAPO RF6; ANGELES CITY RF5; MANILA MAKATI PASIG RF5; BAGUIO BULACAN RF4; TAGAYTAY LUCBAN RF2
1996,9,25,11,36,34.6,13.7,120.33,138,,,5,,PTO GALERA RF2
1996,9,28,9,37,2.3,16.33,120.59,4,,,5.3,,
1997,3,12,14,51,48.3,13.61,121.01,12,,,5.9,,INTENSITY IV - PUERTO GALERA MINDORO ORIENTAL; INTENSITY III - CALAPAN MINDORO ORIENTAL; TAAL BATANGAS; TAGAYTAY CITY; INTENSITY II - QUEZON CITY; INTENSITY I - LUCBAN QUEZON
1997,5,5,5,44,20.2,15.15,119.92,14,,,5.5,,INTENSITY II - CLARK AIR BASE; INTENSITY I - QUEZON CITY
1997,7,22,22,53,36.9,15.2,122.58,11,,,5.2,,INTENSITY III - QUEZON CITY; INTENSITY II - GUINAYANGAN QUEZON
1998,1,4,4,24,10.8,14.8,121.94,3,,,5.4,,
1998,3,23,20,24,35.5,13.12,121.18,3,,,5.1,,
1998,8,23,5,36,12.8,14.73,119.9,35,,,6.1,,
